"city","latitude","longitude","predicted_eph"
"1","52.41329","4.86934","22.18"
"1","52.36698","4.9316","18.15"
"1","52.41348","4.9034","21.24"
"1","52.36189","4.89963","25.47"
"1","52.36991","4.9427","24.13"
"1","52.34364","4.85069","10.04"
"1","52.41514","4.90812","29.51"
"1","52.41136","4.86088","27.39"
"1","52.41521","4.8606","10.63"
"1","52.33972","4.85024","25.15"
"1","52.3844","4.85566","14.57"
"1","52.36518","4.90633","20.33"
"1","52.40501","4.94921","21.42"
"1","52.36364","4.901","20.64"
"1","52.36511","4.92639","17.59"
"1","52.4011","4.94912","21.75"
"1","52.33037","4.90407","19.75"
"1","52.34002","4.84451","24.42"
"1","52.41414","4.9094","13.74"
"1","52.3654","4.9089","14.91"
"1","52.36411","4.93336","18.04"
"1","52.34379","4.84295","18.84"
"1","52.34683","4.92578","25.06"
"1","52.41005","4.86737","23.59"
"1","52.4054","4.94898","25.35"
"1","52.36408","4.90758","20.73"
"1","52.3644","4.93044","25.29"
"1","52.41161","4.90579","27.4"
"1","52.33904","4.84267","35"
"1","52.3641","4.9097","15.35"
"1","52.40569","4.95093","23.91"
"1","52.32987","4.90201","23.08"
"1","52.35838","4.89854","29.16"
"1","52.36934","4.88596","21.81"
"1","52.34228","4.84912","33.9"
"1","52.36368","4.90619","18.94"
"1","52.37323","4.93563","26.86"
"1","52.36347","4.92989","29.65"
"1","52.36652","4.93482","25.38"
"1","52.36059","4.90518","18.95"
"1","52.36725","4.93144","13.55"
"1","52.41129","4.86817","25.59"
"1","52.38321","4.85619","17.17"
"1","52.36915","4.94234","24.64"
"1","52.36382","4.92713","22.76"
"1","52.37041","4.89052","23.16"
"1","52.40412","4.94205","22.44"
"1","52.35841","4.89773","22.55"
"1","52.41042","4.86363","25.55"
"1","52.39794","4.92254","12.45"
"1","52.34215","4.84528","13.05"
"1","52.33033","4.9048","22.96"
"1","52.36329","4.90709","25.74"
"1","52.36598","4.94278","18.31"
"1","52.41241","4.91061","17.96"
"1","52.38836","4.860565","23.38"
"1","52.3853","4.8602","19.87"
"1","52.36112","4.90099","23.02"
"1","52.38731","4.85455","18.96"
"1","52.38704","4.85359","19.34"
"1","52.34461","4.9332","21.41"
"1","52.38348","4.8606","25.32"
"1","52.36697","4.91213","21"
"1","52.36991","4.94553","19.08"
"1","52.41488","4.86108","15.59"
"1","52.41086","4.86876","16.37"
"1","52.36467","4.91495","16.22"
"1","52.41129","4.90984","24.72"
"1","52.36338","4.93304","22.93"
"1","52.38422","4.85266","24.92"
"1","52.41352","4.86862","8"
"1","52.34192","4.84734","24.33"
"1","52.36315","4.92716","15.76"
"1","52.34237","4.84897","14.69"
"1","52.40581","4.94415","16.28"
"1","52.36298","4.92937","23.64"
"1","52.3957","4.92978","26.89"
"1","52.36357","4.93037","14.28"
"1","52.37284","4.89353","17.12"
"1","52.38424","4.85588","26.39"
"1","52.39728","4.92465","23.12"
"1","52.34114","4.84686","28.7"
"1","52.36802","4.93791","29.45"
"1","52.38312","4.85906","26.4"
"1","52.38877","4.85234","10.2"
"1","52.34158","4.84247","21.17"
"1","52.34098","4.84301","24.75"
"1","52.36968","4.946","16.98"
"1","52.40324","4.94337","20.94"
"1","52.35896","4.89871","26.07"
"1","52.41093","4.90558","25.77"
"1","52.3961","4.93077","13.17"
"1","52.37104","4.94377","25.23"
"1","52.34231","4.84677","20.83"
"1","52.3682","4.93516","24.82"
"1","52.34335","4.85007","23.35"
"1","52.34217","4.84348","17.7"
"1","52.39723","4.92147","24.74"
"1","52.36305","4.92788","24.33"
"1","52.32734","4.90528","18.75"
"1","52.36204","4.90759","18.66"
"1","52.37133","4.9393","30.24"
"1","52.365790000000004","4.927005","26.26"
"1","52.4126","4.90215","14.9"
"1","52.35849","4.89803","25.71"
"1","52.362970000000004","4.906625","27.43"
"1","52.36218","4.90209","26.07"
"1","52.32808","4.89846","20.65"
"1","52.38452","4.85867","17.76"
"1","52.4055","4.94988","22.12"
"1","52.36492","4.93506","16.33"
"1","52.4149","4.90291","20.11"
"1","52.34389","4.84249","21.94"
"1","52.36145","4.91074","19.72"
"1","52.41182","4.86757","26.24"
"1","52.38317","4.85968","21.27"
"1","52.3722","4.93761","14.44"
"1","52.41143","4.90443","16.51"
"1","52.36403","4.93332","8"
"1","52.3861","4.85218","35"
"1","52.33959","4.84256","28.88"
"1","52.38316","4.85932","23.27"
"1","52.38784","4.86214","18.89"
"1","52.36205","4.9053","24.35"
"1","52.36704","4.93144","20"
"1","52.36222","4.93481","20.35"
"1","52.35881","4.89831","18.93"
"1","52.37118","4.93992","10.99"
"1","52.39575","4.92551","16.92"
"1","52.4109","4.861","25.17"
"1","52.33117","4.90725","18.05"
"1","52.36924","4.88721","19.36"
"1","52.32944","4.89855","29.07"
"1","52.40196","4.94455","20.99"
"1","52.34471","4.84717","27.96"
"1","52.37171","4.88527","21.88"
"1","52.36754","4.8888","27.7"
"1","52.36485","4.92792","20.93"
"1","52.38474","4.85522","26.14"
"1","52.3887","4.8603","25.56"
"1","52.39822","4.92226","28.05"
"1","52.36314","4.92923","9.72"
"1","52.36417","4.89931","10.04"
"1","52.41294","4.8665","21.95"
"1","52.36691","4.93093","22.18"
"1","52.41012","4.90338","29.56"
"1","52.34738","4.92788","18.04"
"1","52.40183","4.94821","18.64"
"1","52.41181","4.90746","23.7"
"1","52.38737","4.85571","21.86"
"1","52.38362","4.85805","21.5"
"1","52.36327","4.93071","13.15"
"1","52.33977","4.84674","13.6"
"1","52.41022","4.90993","19.12"
"1","52.4136","4.90253","22.53"
"1","52.37156","4.88933","11.83"
"1","52.41273","4.90633","28.71"
"1","52.39898","4.92232","35"
"1","52.41203","4.86635","27.36"
"1","52.33096","4.89779","20.98"
"1","52.33946","4.84657","30.9"
"1","52.41494","4.90472","23.66"
"1","52.41233","4.90228","24.17"
"1","52.36763","4.93316","15.48"
"1","52.3887","4.86104","17.24"
"1","52.33128","4.89962","15.08"
"1","52.40999","4.8677","22.79"
"1","52.40195","4.95042","23.62"
"1","52.33966","4.85028","26.74"
"1","52.34671","4.92665","21.95"
"1","52.4021","4.95115","19.73"
"1","52.36782","4.89417","31.32"
"1","52.3676","4.94084","22.15"
"1","52.36719","4.94231","22.35"
"1","52.34731","4.92861","17.2"
"1","52.36695","4.91348","27.07"
"1","52.32992","4.89794","11.05"
"1","52.32629","4.89768","25.24"
"1","52.39999","4.94556","15.63"
"1","52.36908","4.8892","23.85"
"1","52.40064","4.94292","21.99"
"1","52.32753","4.90743","14.58"
"1","52.39711","4.92389","23.48"
"1","52.360775000000004","4.90399","17.45"
"1","52.36408","4.93267","20.76"
"1","52.36536","4.93158","31.05"
"1","52.41297","4.90492","26.27"
"1","52.3974","4.92647","19.98"
"1","52.3403","4.85034","20.95"
"1","52.40521","4.94785","32.92"
"1","52.38689","4.859805","13.39"
